Source,Target,Strength
2,1,31
4,1,7
1,3,7
4,2,6
2,3,6
5,1,3
2,7,3
6,1,3
7,1,3
4,3,2
2,8,2
8,1,2
4,5,1
4,21,1
4,8,1
4,7,1
9,2,1
9,1,1
10,2,1
10,1,1
11,14,1
11,2,1
11,1,1
12,2,1
12,1,1
5,2,1
5,6,1
5,21,1
5,7,1
13,2,1
13,1,1
14,2,1
14,1,1
15,2,1
15,19,1
15,1,1
2,16,1
2,17,1
2,18,1
2,19,1
2,20,1
2,22,1
16,17,1
16,1,1
17,1,1
18,1,1
18,3,1
19,1,1
20,1,1
21,1,1
8,7,1
22,3,1
