Paper_ID,Year,Title,Authors,Algorithm_Type,Quantum_Framework,Application_Domain,Repository_URL,DOI,arXiv_URL,arXiv_Categories
12,2021,A divide-and-conquer algorithm for quantum state preparation,"Araujo, Israel F.; Park, Daniel K.; Petruccione, Francesco; Da Silva, Adenilton J.",Quantum State Preparation,Custom Implementation,Quantum Data Encoding,https://github.com/qclib/qclib,10.1038/s41598-021-85474-1,https://www.nature.com/articles/s41598-021-85474-1,
13,2021,Quantum adiabatic machine learning with zooming,"Zlokapa, Alexander; Mott, Alex; Job, Joshua; Vlimant, Jean-Roch; Lidar, Daniel; Spiropulu, Maria",Quantum Annealing / Adiabatic ML,Quantum Annealing Platform,Classification (e.g. Higgs boson data),https://github.com/quantummind/qaml-z,10.1103/PhysRevA.102.062405,http://arxiv.org/abs/1908.04480,Computer Science - Machine Learning; Quantum Physics; High Energy Physics - Phenomenology
14,2021,The effect of data encoding on the expressive power of variational quantum machine learning models,"Schuld, Maria; Sweke, Ryan; Meyer, Johannes Jakob",QML Theory / Data Encoding Analysis,PennyLane,Learning Theory and Model Expressivity,https://github.com/XanaduAI/expressive_power_of_quantum_models,10.1103/PhysRevA.103.032430,http://arxiv.org/abs/2008.08605,Quantum Physics; Statistics - Machine Learning
15,2021,A rigorous and robust quantum speed-up in supervised machine learning,"Liu, Yunchao; Arunachalam, Srinivasan; Temme, Kristan",Quantum Kernel Methods (Supervised Learning),Custom Hybrid Implementation,Supervised classification,https://github.com/andre-juan/good_quan tum_kernels,10.1038/s41567-021-01287-z,https://www.nature.com/articles/s41567-021-01287-z,
16,2021,Quantum enhancements for deep reinforcement learning in large spaces,"Jerbi, Sofiene; Trenkwalder, Lea M.; Nautrup, Hendrik Poulsen; Briegel, Hans J.; Dunjko, Vedran",Quantum Reinforcement Learning (Energy-based models),Custom/Hybrid implementation,Reinforcement Learning,https://github.com/LeaMarion/quantum-enhanceable-deep-rl,10.1103/PRXQuantum.2.010328,http://arxiv.org/abs/1910.12760,Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Quantum Physics; Statistics - Machine Learning
17,2021,Evaluation of Parameterized Quantum Circuits,"Hubregtsen, Thomas; Pichlmeier, Josef; Stecher, Patrick; Bertels, Koen",QNN / Parameterized Quantum Circuits,Custom Implementation,Supervised Classification,https://github.com/bagmk/Q uantum_Machine_Learning_Express,10.48550/arXiv.2003.09887,http://arxiv.org/abs/2003.09887,Quantum Physics; Computer Science - Neural and Evolutionary Computing
18,2021,The power of quantum neural networks,"Abbas, Amira; Sutter, David; Zoufal, Christa; Lucchi, Aurelien; Figalli, Alessio; Woerner, Stefan",Quantum Neural Networks (QNN),PennyLane / Qiskit,Supervised classification,https://github.com/amyami187/effective_dimension,10.1038/s43588-021-00084-1,https://www.nature.com/articles/s43588-021-00084-1,
19,2021,VSQL: Variational Shadow Quantum Learning for Classification,"Li, Guangxi; Song, Zhixin; Wang, Xin",Hybrid Quantum-Classical (VSQL framework),PaddlePaddle,Supervised classification,https://github.com/PaddlePaddle/Quantum,10.1609/aaai.v35i9.17016,https://ojs.aaai.org/index.php/AAAI/article/view/17016,
20,2021,Supervised quantum machine learning models are kernel methods,"Schuld, Maria",Quantum Kernel Methods (Supervised Learning),PennyLane,Supervised classification,https://github.com/sophchoe/Binary_Classification_Pennylane_Keras,,,
21,2021,Practical distributed quantum information processing with LOCCNet,"Zhao, Xuanqiang; Zhao, Benchi; Wang, Zihe; Song, Zhixin; Wang, Xin",Distributed Quantum Information Processing (LOCC-based),Custom implementation (possibly via Paddle Quantum),Distributed Quantum Information Processing,https://github.com/vsastray/LOCCNetcodes,10.1038/s41534-021-00496-x,https://www.nature.com/articles/s41534-021-00496-x,
22,2021,Optimal training of variational quantum algorithms without barren plateaus,"Haug, Tobias; Kim, M S",,Custom Implementation,Variational Quantum Optimization,https://github.com/txhaug/optimal-quantum-learning,,,
23,2022,Quantum Federated Learning with Quantum Data,"Chehimi, Mahdi; Saad, Walid",Quantum Federated Learning,TensorFlow Quantum,Distributed quantum learning,https://github.com/MahdiChehimi/Quantum-Federated-Learning-with-Quantum-Data,10.1109/ICASSP43922.2022.9746622,https://ieeexplore.ieee.org/document/9746622/,
24,2022,Quantum Perceptron Revisited: Computational-Statistical Tradeoffs,"Roget, Mathieu; Université, Aix-Marseille",Quantum Perceptron / Supervised Learning,Custom Hybrid Implementation,Supervised learning,https://github.com/mroget/quantum-perceptron-models,,,
25,2021,The Inductive Bias of Quantum Kernels,"Kübler, Jonas M; Buchholz, Simon; Schölkopf, Bernhard",Quantum Kernel Methods (Theoretical Analysis),Theoretical analysis using custom evaluation,Quantum Kernel Analysis,https://github.com/jmkuebler/quantumbias,,,
26,2022,The dilemma of quantum neural networks,"Qian, Yang; Wang, Xinbiao; Du, Yuxuan; Wu, Xingyao; Tao, Dacheng",Quantum Neural Networks (QNN),Custom Implementation,,https://github.com/QQQYang/QNN-Baseline,10.1109/TNNLS.2022.3208313,https://ieeexplore.ieee.org/document/9908575/,
27,2021,Variational Quanvolutional Neural Networks with enhanced image encoding,"Mattern, Denny; Martyniuk, Darya; Willems, Henri; Bergmann, Fabian; Paschke, Adrian",Quanvolutional Neural Networks (Hybrid Q-CNN),Custom Hybrid Implementation,,https://github.com/PlanQK/variational-quanvolutional-neural-networks,,,
28,2021,Trainable Discrete Feature Embeddings for Variational Quantum Classifier,"Thumwanit, Napat; Yano, Hiroshi; Lortaraprasert, Chayaphol; Raymond, Rudy",Trainable Feature Embeddings for VQC,Custom Implementation,,https://github.com/barnrang/Trainable-Embedding-QML,,,
29,2021,A quantum algorithm for training wide and deep classical neural networks,"Zlokapa, Alexander; Neven, Hartmut; Lloyd, Seth",Quantum Algorithm for Classical NN Training,Custom Implementation,,https://github.com/quantummind/quantum-deep-neural-network,,,
30,2023,Quantum machine learning of large datasets using randomized measurements,"Haug, Tobias; Self, Chris N; Kim, M S",QML with Randomized Measurements (Kernel method),Qiskit,,https://github.com/chris-n-self/large-scale-qml,10.1088/2632-2153/acb0b4,https://iopscience.iop.org/article/10.1088/2632-2153/acb0b4,
31,2021,Optimizing Quantum Variational Circuits with Deep Reinforcement Learning,"Lockwood, Owen",RL-Augmented Optimization for VQCs,Custom/Hybrid (using deep RL techniques),,https://github.com/lockwo/rl_qvc_opt,,,
32,2021,Entangled Datasets for Quantum Machine Learning,"Schatzki, Louis; Arrasmith, Andrew; Coles, Patrick J; Cerezo, M",Generation of Quantum Datasets,Custom Implementation,,https://github.com/LSchatzki/NTangled_Datasets,,,
33,2023,Quantum Machine Learning Beyond Kernel Methods,"Jerbi, Sofiene; Fiderer, Lukas J.; Poulsen Nautrup, Hendrik; Kübler, Jonas M.; Briegel, Hans J.; Dunjko, Vedran",Unifying Framework for QML (Linear quantum models & data re-uploading),Theoretical/Custom mapping of models,,https://github.com/sjerbi/QML-beyond-kernel,10.1038/s41467-023-36159-y,https://www.nature.com/articles/s41467-023-36159-y,
34,2022,Importance of Kernel Bandwidth in Quantum Machine Learning,"Shaydulin, Ruslan; Wild, Stefan M",Quantum Kernel Methods (Hyperparameter study),Qiskit / PennyLane,,https://github.com/rsln-s/importance-of-kernel-bandwidth-in-quantum-machine-learning,,,
35,2021,Discriminating Quantum States with Quantum Machine Learning,"Quiroga, David; Date, Prasanna; Pooser, Raphael",Quantum k-means variant for state discrimination,Qiskit,,https://github.com/Raijeku/discriminating-quantum-states,,,
36,2022,Design and Implementation of a Quantum Kernel for Natural Language Processing,"Wright, Matt",Quantum Kernel for NLP,,,https://github.com/mattwright99/thesis,,,
