Paper_ID,Title,Authors,Year,Algorithm_Category,Quantum_Framework,Application_Domain,Repository_URL,DOI,arXiv_URL,arXiv_Subject_Classes,Benchmark_Reporting,Documentation_Quality,Execution_Procedure,Dependency_Specification,Code_Usability,Overall_Reproducibility
11,Quantum One-class Classification With a Distance-based Classifier,"De Oliveira, Nicolas M.; De Albuquerque, Lucas P.; De Oliveira, Wilson R.; Ludermir, Teresa B.; Da Silva, Adenilton J.",2021,Quantum Classification (One-class classifier),Custom Implementation,Pattern recognition; one-class classification,https://github.com/lucasponteslpa/QOCClassifier,10.1109/IJCNN52387.2021.9533441,https://ieeexplore.ieee.org/document/9533441/,,Yes,High,Moderate,High,High,High
12,A divide-and-conquer algorithm for quantum state preparation,"Araujo, Israel F.; Park, Daniel K.; Petruccione, Francesco; Da Silva, Adenilton J.",2021,Quantum State Preparation,Custom Implementation,Quantum Data Encoding,https://github.com/qclib/qclib,10.1038/s41598-021-85474-1,https://www.nature.com/articles/s41598-021-85474-1,,No,High,Moderate,Moderate,High,High
13,Quantum adiabatic machine learning with zooming,"Zlokapa, Alexander; Mott, Alex; Job, Joshua; Vlimant, Jean-Roch; Lidar, Daniel; Spiropulu, Maria",2021,Quantum Annealing / Adiabatic ML,Quantum Annealing Platform,Classification (e.g. Higgs boson data),https://github.com/quantummind/qaml-z,10.1103/PhysRevA.102.062405,http://arxiv.org/abs/1908.04480,Computer Science - Machine Learning; Quantum Physics; High Energy Physics - Phenomenology,No,Low,Low,Low,Low,Low
14,The effect of data encoding on the expressive power of variational quantum machine learning models,"Schuld, Maria; Sweke, Ryan; Meyer, Johannes Jakob",2021,QML Theory / Data Encoding Analysis,PennyLane,Learning Theory and Model Expressivity,https://github.com/XanaduAI/expressive_power_of_quantum_models,10.1103/PhysRevA.103.032430,http://arxiv.org/abs/2008.08605,Quantum Physics; Statistics - Machine Learning,No,Moderate,Moderate,Moderate,Moderate,Moderate
15,A rigorous and robust quantum speed-up in supervised machine learning,"Liu, Yunchao; Arunachalam, Srinivasan; Temme, Kristan",2021,Quantum Kernel Methods (Supervised Learning),Custom Hybrid Implementation,Supervised classification,https://github.com/andre-juan/good_quan tum_kernels,10.1038/s41567-021-01287-z,https://www.nature.com/articles/s41567-021-01287-z,,No,High,High,High,High,High
16,Quantum enhancements for deep reinforcement learning in large spaces,"Jerbi, Sofiene; Trenkwalder, Lea M.; Nautrup, Hendrik Poulsen; Briegel, Hans J.; Dunjko, Vedran",2021,Quantum Reinforcement Learning (Energy-based models),Custom/Hybrid implementation,Reinforcement Learning,https://github.com/LeaMarion/quantum-enhanceable-deep-rl,10.1103/PRXQuantum.2.010328,http://arxiv.org/abs/1910.12760,Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Quantum Physics; Statistics - Machine Learning,Yes,Moderate,Moderate,Moderate,Moderate,Moderate
17,Evaluation of Parameterized Quantum Circuits,"Hubregtsen, Thomas; Pichlmeier, Josef; Stecher, Patrick; Bertels, Koen",2021,QNN / Parameterized Quantum Circuits,Custom Implementation,Supervised Classification,https://github.com/bagmk/Q uantum_Machine_Learning_Express,10.48550/arXiv.2003.09887,http://arxiv.org/abs/2003.09887,Quantum Physics; Computer Science - Neural and Evolutionary Computing,Yes,High,High,High,High,High
18,The power of quantum neural networks,"Abbas, Amira; Sutter, David; Zoufal, Christa; Lucchi, Aurelien; Figalli, Alessio; Woerner, Stefan",2021,Quantum Neural Networks (QNN),PennyLane / Qiskit,Supervised classification,https://github.com/amyami187/effective_dimension,10.1038/s43588-021-00084-1,https://www.nature.com/articles/s43588-021-00084-1,,Yes,High,Moderate,Moderate,Moderate,Moderate
19,VSQL: Variational Shadow Quantum Learning for Classification,"Li, Guangxi; Song, Zhixin; Wang, Xin",2021,Hybrid Quantum-Classical (VSQL framework),PaddlePaddle,Supervised classification,https://github.com/PaddlePaddle/Quantum,10.1609/aaai.v35i9.17016,https://ojs.aaai.org/index.php/AAAI/article/view/17016,,Yes,High,High,High,High,High
20,Supervised quantum machine learning models are kernel methods,"Schuld, Maria",2021,Quantum Kernel Methods (Supervised Learning),PennyLane,Supervised classification,https://github.com/sophchoe/Binary_Classification_Pennylane_Keras,,,,Yes,High,High,High,High,High
21,Practical distributed quantum information processing with LOCCNet,"Zhao, Xuanqiang; Zhao, Benchi; Wang, Zihe; Song, Zhixin; Wang, Xin",2021,Distributed Quantum Information Processing (LOCC-based),Custom implementation (possibly via Paddle Quantum),Distributed Quantum Information Processing,https://github.com/vsastray/LOCCNetcodes,10.1038/s41534-021-00496-x,https://www.nature.com/articles/s41534-021-00496-x,,Yes,Moderate,Moderate,Moderate,Moderate,Moderate
22,Optimal training of variational quantum algorithms without barren plateaus,"Haug, Tobias; Kim, M S",2021,,Custom Implementation,Variational Quantum Optimization,https://github.com/txhaug/optimal-quantum-learning,,,,No,Moderate,Moderate,Moderate,Moderate,Moderate
23,Quantum Federated Learning with Quantum Data,"Chehimi, Mahdi; Saad, Walid",2022,Quantum Federated Learning,TensorFlow Quantum,Distributed quantum learning,https://github.com/MahdiChehimi/Quantum-Federated-Learning-with-Quantum-Data,10.1109/ICASSP43922.2022.9746622,https://ieeexplore.ieee.org/document/9746622/,,No,High,High,High,High,High
24,Quantum Perceptron Revisited: Computational-Statistical Tradeoffs,"Roget, Mathieu; Université, Aix-Marseille",2022,Quantum Perceptron / Supervised Learning,Custom Hybrid Implementation,Supervised learning,https://github.com/mroget/quantum-perceptron-models,,,,Yes,High,High,High,High,High
25,The Inductive Bias of Quantum Kernels,"Kübler, Jonas M; Buchholz, Simon; Schölkopf, Bernhard",2021,Quantum Kernel Methods (Theoretical Analysis),Theoretical analysis using custom evaluation,Quantum Kernel Analysis,https://github.com/jmkuebler/quantumbias,,,,Yes,High,Moderate,Moderate,High,High
26,The dilemma of quantum neural networks,"Qian, Yang; Wang, Xinbiao; Du, Yuxuan; Wu, Xingyao; Tao, Dacheng",2022,Quantum Neural Networks (QNN),Custom Implementation,,https://github.com/QQQYang/QNN-Baseline,10.1109/TNNLS.2022.3208313,https://ieeexplore.ieee.org/document/9908575/,,No,High,Moderate,Moderate,High,High
27,Variational Quanvolutional Neural Networks with enhanced image encoding,"Mattern, Denny; Martyniuk, Darya; Willems, Henri; Bergmann, Fabian; Paschke, Adrian",2021,Quanvolutional Neural Networks (Hybrid Q-CNN),Custom Hybrid Implementation,,https://github.com/PlanQK/variational-quanvolutional-neural-networks,,,,Yes,Moderate,Moderate,Moderate,Moderate,Moderate
28,Trainable Discrete Feature Embeddings for Variational Quantum Classifier,"Thumwanit, Napat; Yano, Hiroshi; Lortaraprasert, Chayaphol; Raymond, Rudy",2021,Trainable Feature Embeddings for VQC,Custom Implementation,,https://github.com/barnrang/Trainable-Embedding-QML,,,,Yes,High,High,High,High,High
29,A quantum algorithm for training wide and deep classical neural networks,"Zlokapa, Alexander; Neven, Hartmut; Lloyd, Seth",2021,Quantum Algorithm for Classical NN Training,Custom Implementation,,https://github.com/quantummind/quantum-deep-neural-network,,,,No,Moderate,Moderate,Moderate,Moderate,Moderate
30,Quantum machine learning of large datasets using randomized measurements,"Haug, Tobias; Self, Chris N; Kim, M S",2023,QML with Randomized Measurements (Kernel method),Qiskit,,https://github.com/chris-n-self/large-scale-qml,10.1088/2632-2153/acb0b4,https://iopscience.iop.org/article/10.1088/2632-2153/acb0b4,,Yes,High,Moderate,Moderate,High,High
31,Optimizing Quantum Variational Circuits with Deep Reinforcement Learning,"Lockwood, Owen",2021,RL-Augmented Optimization for VQCs,Custom/Hybrid (using deep RL techniques),,https://github.com/lockwo/rl_qvc_opt,,,,Yes,High,High,High,High,High
32,Entangled Datasets for Quantum Machine Learning,"Schatzki, Louis; Arrasmith, Andrew; Coles, Patrick J; Cerezo, M",2021,Generation of Quantum Datasets,Custom Implementation,,https://github.com/LSchatzki/NTangled_Datasets,,,,Yes,Moderate,Moderate,Moderate,Moderate,Moderate
33,Quantum Machine Learning Beyond Kernel Methods,"Jerbi, Sofiene; Fiderer, Lukas J.; Poulsen Nautrup, Hendrik; Kübler, Jonas M.; Briegel, Hans J.; Dunjko, Vedran",2023,Unifying Framework for QML (Linear quantum models & data re-uploading),Theoretical/Custom mapping of models,,https://github.com/sjerbi/QML-beyond-kernel,10.1038/s41467-023-36159-y,https://www.nature.com/articles/s41467-023-36159-y,,No,High,High,High,High,High
34,Importance of Kernel Bandwidth in Quantum Machine Learning,"Shaydulin, Ruslan; Wild, Stefan M",2022,Quantum Kernel Methods (Hyperparameter study),Qiskit / PennyLane,,https://github.com/rsln-s/importance-of-kernel-bandwidth-in-quantum-machine-learning,,,,Yes,High,High,High,High,High
35,Discriminating Quantum States with Quantum Machine Learning,"Quiroga, David; Date, Prasanna; Pooser, Raphael",2021,Quantum k-means variant for state discrimination,Qiskit,,https://github.com/Raijeku/discriminating-quantum-states,,,,Yes,High,High,High,High,High
36,Design and Implementation of a Quantum Kernel for Natural Language Processing,"Wright, Matt",2022,Quantum Kernel for NLP,,,https://github.com/mattwright99/thesis,,,,No,Moderate,Moderate,Moderate,Moderate,Moderate
37,Variational Quantum Approximate Support Vector Machine with Inference Transfer,"Park, Siheon; Park, Daniel K; Rhee, June-Koo Kevin",2023,Variational Quantum Approximate SVM,Custom Hybrid Implementation,,https://github.com/Siheon-Park/QUIC-Projects,,,,No,Moderate,Moderate,Moderate,Moderate,Moderate
38,Quantum Advantage Seeker with Kernels (QuASK): a software framework to speed up the research in quantum machine learning,"Di Marcantonio, Francesco; Incudini, Massimiliano; Tezza, Davide; Grossi, Michele",2023,,Python,,https://github.com/CERN-IT-INNOVATION/QuASK,10.1007/s42484-023-00107-2,https://link.springer.com/10.1007/s42484-023-00107-2,,Yes,High,High,High,High,High
39,Verifying Fairness in Quantum Machine Learning,"Guan, Ji; Fang, Wang; Ying, Mingsheng",2022,Fairness Verification for QML Models,TensorFlow Quantum,,https://github.com/veri-q/fairness,10.1007/978-3-031-13188-2_20,https://link.springer.com/10.1007/978-3-031-13188-2_20,,No,High,High,High,High,High
40,Quantum Machine Learning for Distributed Quantum Protocols with Local Operations and Noisy Classical Communications,"Chittoor, Hari Hara Suthan; Simeone, Osvaldo",2023,QML for Distributed Protocols (LOCCNet variant),Custom Implementation,,https://github.com/kclip/noise-aware-loccnet,10.3390/e25020352,https://www.mdpi.com/1099-4300/25/2/352,,Yes,High,High,High,High,High
41,Scalable Quantum Neural Networks for Classification,"Wu, Jindi; Tao, Zeyi; Li, Qun",2022,Scalable Quantum Neural Networks (SQNN),TensorFlow Quantum,,https://github.com/jindi0/sqnn,,,,No,Moderate,Moderate,Moderate,Moderate,Moderate
42,Variational quantum Gibbs state preparation with a truncated Taylor series,"Wang, Youle; Li, Guangxi; Wang, Xin",2021,variational Quantum Algorithms (Gibbs state prep),Custom Hybrid Implementation,,https://github.com/PaddlePaddle/Quantum,10.1103/PhysRevApplied.16.054035,http://arxiv.org/abs/2005.08797,Computer Science - Machine Learning; Quantum Physics; Computer Science - Information Theory; Condensed Matter - Statistical Mechanics,Yes,High,High,High,High,High
43,QuACK: Accelerating Gradient-Based Quantum Optimization with Koopman Operator Learning,"Luo, Di; Shen, Jiayu; Dangovski, Rumen; Soljačić, Marin",2023,Quantum Optimization Acceleration (QuACK algorithm),Custom Implementation,,https://github.com/qkoopman/QuACK,10.48550/arXiv.2211.01365,http://arxiv.org/abs/2211.01365,Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Quantum Physics; Mathematics - Optimization and Control; Physics - Computational Physics,Yes,High,High,High,High,High
44,Hybrid Quantum-Classical Generative Adversarial Network for High Resolution Image Generation,"Tsang, Shu Lok; West, Maxwell T.; Erfani, Sarah M.; Usman, Muhammad",2023,"Hybrid QGAN (quantum generator, classical critic)",Custom Implementation,,https://github.com/jasontslxd/PQWGAN,10.1109/TQE.2023.3319319,http://arxiv.org/abs/2212.11614,Computer Science - Machine Learning; Quantum Physics; Computer Science - Computer Vision and Pattern Recognition,No,High,High,High,High,High
45,SEQUENT: Towards Traceable Quantum Machine Learning using Sequential Quantum Enhanced Training,"Altmann, Philipp; Sünkel, Leo; Stein, Jonas; Müller, Tobias; Roch, Christoph; Linnhoff-Popien, Claudia",2023,Hybrid QML with Sequential (transfer) Training,TensorFlow Quantum,Benchmarking and Performance Evaluation,https://github.com/philippaltmann/sequent,10.5220/0011772400003393,http://arxiv.org/abs/2301.02601,Computer Science - Machine Learning; Quantum Physics,Yes,Moderate,High,Moderate,Moderate,Moderate
46,Explaining Quantum Circuits with Shapley Values: Towards Explainable Quantum Machine Learning,"Heese, Raoul; Gerlach, Thore; Mücke, Sascha; Müller, Sabine; Jakobs, Matthias; Piatkowski, Nico",2023,Explainable QML (Quantum Shapley Values),Custom Hybrid Implementation,,https://github.com/RaoulHeese/qshaptools,10.1007/s42484-025-00254-8,http://arxiv.org/abs/2301.09138,Computer Science - Machine Learning; Quantum Physics; Statistics - Machine Learning,Yes,High,High,High,High,High
47,Quantum Convolutional Neural Networks for Multi-Channel Supervised Learning,"Smaldone, Anthony M.; Kyro, Gregory W.; Batista, Victor S.",2023,Quantum Convolutional Neural Networks (QCNN),Custom Implementation,,https://github.com/anthonysmaldone/QCNN-Multi-Channel-Supervised-Learning,10.1007/s42484-023-00130-3,http://arxiv.org/abs/2305.18961,Quantum Physics; Statistics - Machine Learning,No,High,High,High,High,High
48,Software Supply Chain Vulnerabilities Detection in Source Code: Performance Comparison between Traditional and Quantum Machine Learning Algorithms,"Akter, Mst Shapna; Faruk, Md Jobair Hossain; Anjum, Nafisa; Masum, Mohammad; Shahriar, Hossain; Sakib, Nazmus; Rahman, Akond; Wu, Fan; Cuzzocrea, Alfredo",2022,Quantum Neural Networks (QNN) vs. Classical NN,Custom Implementation,,https://github.com/jannatulshapna/QML-Software-Supply-Chain,10.1109/BigData55660.2022.10020813,https://ieeexplore.ieee.org/document/10020813/,,Yes,High,High,High,High,High
49,Application-Oriented Benchmarking of Quantum Generative Learning Using QUARK,"Kiwit, Florian J.; Marso, Marwa; Ross, Philipp; Riofrío, Carlos A.; Klepsch, Johannes; Luckow, Andre",2023,Benchmarking Framework (Classical-Quantum),Custom Implementation,,https://github.com/quark-framework/quark,10.1109/QCE57702.2023.00061,http://arxiv.org/abs/2308.04082,"Computer Science - Machine Learning; Quantum Physics; Computer Science - Distributed, Parallel, and Cluster Computing",Yes,Moderate,Moderate,Moderate,Moderate,Moderate
50,Sub-universal variational circuits for combinatorial optimization problems,"Weitz, Gal; Pira, Lirandë; Ferrie, Chris; Combes, Joshua",2023,Variational Quantum Algorithm (Hybrid),Custom Implementation,,https://github.com/lirandepira/paoa-simulations,10.1103/v1sh-fg6f,http://arxiv.org/abs/2308.14981,Computer Science - Machine Learning; Quantum Physics,Yes,High,High,High,High,High
51,Learning Quantum Processes with Quantum Statistical Queries,"Wadhwa, Chirag; Doosti, Mina",2023,Quantum Learning (Hybrid),PennyLane,,https://github.com/chirag-w/qpsq-learning,10.22331/q-2025-05-12-1739,http://arxiv.org/abs/2310.02075,Computer Science - Machine Learning; Quantum Physics; Computer Science - Computational Complexity,No,High,Moderate,Moderate,Moderate,Moderate
52,Enhancing variational quantum state diagonalization using reinforcement learning techniques,"Kundu, Akash; Bedełek, Przemysław; Ostaszewski, Mateusz; Danaci, Onur; Patel, Yash J.; Dunjko, Vedran; Miszczak, Jarosław A.",2024,"Variational Quantum Algorithm (Hybrid, RL-enhanced VQC)",Custom Implementation,,https://github.com/iitis/RL_for_VQSD_ansatz_optimization,10.1088/1367-2630/ad1b7f,http://arxiv.org/abs/2306.11086,Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Quantum Physics,Yes,High,High,High,High,High
53,Understanding quantum machine learning also requires rethinking generalization,"Gil-Fuster, Elies; Eisert, Jens; Bravo-Prieto, Carlos",2024,Theoretical Analysis (Simulation-based QNN),Custom Implementation,,https://github.com/bpcarlos/understanding_qml_rethinking_gen,10.1038/s41467-024-45882-z,http://arxiv.org/abs/2306.13461,Computer Science - Machine Learning; Quantum Physics; Statistics - Machine Learning; Condensed Matter - Quantum Gases,Yes,High,High,High,High,High
54,Quantum Convolutional Neural Networks with Interaction Layers for Classification of Classical Data,"Mahmud, Jishnu; Mashtura, Raisa; Fattah, Shaikh Anowarul; Saquib, Mohammad",2024,Quantum Neural Network (Hybrid QCNN),Custom Implementation,,https://github.com/chacconed/Quantum-Convolutional-Neural-Networks-with-Interaction-Layers-for-Classification-of-Classical-Data,10.1007/s42484-024-00145-4,http://arxiv.org/abs/2307.11792,Computer Science - Machine Learning; Quantum Physics,Yes,Moderate,Moderate,Moderate,Moderate,Moderate
55,Generative Quantum Machine Learning via Denoising Diffusion Probabilistic Models,"Zhang, Bingzhi; Xu, Peng; Chen, Xiaohui; Zhuang, Quntao",2024,Quantum Generative Model (Hybrid),TensorFlow Quantum,,https://github.com/francis-hsu/quantgenmdl,10.1103/PhysRevLett.132.100602,http://arxiv.org/abs/2310.05866,Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Quantum Physics,No,High,High,High,High,High
56,general learning scheme for classical and quantum Ising machines,"Schmid, Ludwig; Zardini, Enrico; Pastorello, Davide",2024,Quantum Optimization Model (Hybrid),Custom Implementation,,https://github.com/lsschmid/ising-learning-model,10.21468/SciPostPhysCore.7.1.013,http://arxiv.org/abs/2310.18411,Computer Science - Machine Learning; Quantum Physics,Yes,High,High,High,High,High
57,A kernel-based quantum random forest for improved classification,"Srikumar, Maiyuren; Hill, Charles D.; Hollenberg, Lloyd C. L.",2024,Quantum Kernel Methods (classification),Custom Implementation,Supervised Classification,https://github.com/maiyuren/quantum-random-forest,10.48550/arXiv.2210.02355,http://arxiv.org/abs/2210.02355,Computer Science - Machine Learning; Quantum Physics,Yes,Moderate,Moderate,Moderate,Moderate,Moderate
58,sQUlearn– A Python Library for Quantum Machine Learning,"Kreplin, David A.; Willmann, Moritz; Schnabel, Jan; Rapp, Frederic; Hagelüken, Manuel; Roth, Marco",2025,Quantum Kernel Method (Hybrid),Qiskit/PennyLane,,https://github.com/squlearn/squlearn,10.48550/arXiv.2311.08990,http://arxiv.org/abs/2311.08990,Computer Science - Machine Learning; Quantum Physics,Yes,High,High,High,High,High
59,Training robust and generalizable quantum models,"Berberich, Julian; Fink, Daniel; Pranjić, Daniel; Tutschku, Christian; Holm, Christian",2024,Variational Quantum Model (Hybrid),Custom Implementation,,https://github.com/daniel-fink-de/training-robust-and-generalizable-quantum-models,10.1103/PhysRevResearch.6.043326,http://arxiv.org/abs/2311.11871,Computer Science - Machine Learning; Quantum Physics; Mathematics - Optimization and Control,Yes,High,High,High,High,High
60,Challenges for Reinforcement Learning in Quantum Circuit Design,"Altmann, Philipp; Stein, Jonas; Kölle, Michael; Bärligea, Adelina; Gabor, Thomas; Phan, Thomy; Feld, Sebastian; Linnhoff-Popien, Claudia",2024,,Custom Implementation,,https://github.com/philippaltmann/qcd,10.48550/arXiv.2312.11337,http://arxiv.org/abs/2312.11337,Computer Science - Machine Learning; Quantum Physics,No,Moderate,Moderate,Moderate,Moderate,Moderate
61,Élivágar: Efficient Quantum Circuit Search for Classification,"Anagolum, Sashwat; Alavisamani, Narges; Das, Poulami; Qureshi, Moinuddin; Kessler, Eric; Shi, Yunong",2024,Quantum Circuit Learning (Hybrid),TensorFlow Quantum,,https://github.com/sashwatanagolum/elivagar,10.48550/arXiv.2401.09393,http://arxiv.org/abs/2401.09393,Computer Science - Machine Learning; Quantum Physics; Computer Science - Hardware Architecture,Yes,High,High,High,High,High
62,Better than classical? The subtle art of benchmarking quantum machine learning models,"Bowles, Joseph; Ahmed, Shahnawaz; Schuld, Maria",2024,Benchmarking / Evaluation (Hybrid),Custom Implementation,,https://github.com/xanaduai/qml-benchmarks,10.48550/arXiv.2403.07059,http://arxiv.org/abs/2403.07059,Computer Science - Machine Learning; Quantum Physics,Yes,Moderate,Low,Moderate,Low,Low
63,Feature Importance and Explainability in Quantum Machine Learning,"Power, Luke; Guha, Krishnendu",2024,Theoretical Analysis (Simulation-based),Custom Implementation,,https://github.com/LukePower01/ml-to-qml,10.48550/arXiv.2405.08917,http://arxiv.org/abs/2405.08917,Computer Science - Machine Learning; Mathematics - Quantum Algebra; Statistics - Machine Learning,No,Low,Low,Moderate,Low,Low
64,A Quantum Leaky Integrate-and-Fire Spiking Neuron and Network,"Brand, Dean; Petruccione, Francesco",2024,Quantum Neural Network (Hybrid),Custom Implementation,,https://github.com/deanbrand/QSNN,10.1038/s41534-024-00921-x,http://arxiv.org/abs/2407.16398,Quantum Physics; Computer Science - Neural and Evolutionary Computing; Computer Science - Emerging Technologies,No,Moderate,Moderate,Moderate,Moderate,Moderate
65,Reverse Map Projections as Equivariant Quantum Embeddings,"Arnott, Max; Papaioannou, Dimitri; McDowall, Kieran; Lolur, Phalgun; Baldé, Bambordé",2024,Quantum Feature Map (Hybrid),Qiskit/PennyLane,,https://github.com/kezmcd1903/equivariant_qnns,10.48550/arXiv.2407.19906,http://arxiv.org/abs/2407.19906,Computer Science - Artificial Intelligence; Quantum Physics; Computer Science - Emerging Technologies; Mathematical Physics,No,Moderate,Low,Moderate,Low,Low
